User,Date Created,Number of Likes,Source of Tweet,Tweets
VioletBEscapes,2023-06-01 18:11:19+00:00,0,,"Ok Groomer

Pierre haters care about Canada and Canadians.

All you care about is grooming kids for Pierre

Also why do you think more female babies should be aborted than males?

Not one of your will answer this question"
jayrock1982,2023-06-01 18:11:16+00:00,0,,@PaulRasCha @JeremyRedfernFL @WaltDisneyWorld This weirdo cannot be a real person? Is asked ChatGPT to make a picture of a groomer and it created that guys profile picture
Covenant60,2023-06-01 18:11:07+00:00,0,,@STR0 Ok groomer
UndercoverTexa1,2023-06-01 18:10:32+00:00,0,,@ProgrammerPaige @austinfiredept Groomer child mutilator says what?
BubblesPoof69,2023-06-01 18:10:26+00:00,0,,@OlympiaSchools #Groomer send off? Get your kids out now!
BooBooRaadley,2023-06-01 18:10:15+00:00,1,,@Alphafox78 What a perfect accessory to get the word out that you’re a groomer.
BoostIsLifee,2023-06-01 18:10:15+00:00,0,,"@erickbrockway @Seuss420Michael @GayPatriot @glaad @GLSEN Yes you lost the argument by calling everyone stupid initially.  No need to be nice to you after you lost your argument because you can't articulate a sentence without being a condescending prick.  It's cool, groomer."
SocklessCutie,2023-06-01 18:10:15+00:00,0,,Lol cope groomer.
jnebby2,2023-06-01 18:10:14+00:00,0,,@barrowc730 @marklevinshow Sure thing groomer.
WarriorForGood2,2023-06-01 18:10:09+00:00,0,,@Sdmfer81 @manimal14 @Cardinals @MissionTacoSTL Get lost groomer.
DarrenArmitag13,2023-06-01 18:09:54+00:00,0,,"@Upst8Downst8 @BrodieShamus @CathyDuke1231 @JoeyMannarinoUS It's pretty real.  It's not funny, but neither are you.

Groomer?   Or just bot?"
shtpostingalt,2023-06-01 18:09:47+00:00,0,,"@westerosies There is nothing grey about Daemon, we have only seen his evil side ""He enjoys killing and is a groomer but hey, he hugged his daughters once"""
redneckscuba,2023-06-01 18:09:45+00:00,0,,@ms_MariaB @jivjov @CiabanItReal @AP Groomer says what?
sa83809363,2023-06-01 18:09:43+00:00,0,,@SenClareOumou Groomer
WSecularist,2023-06-01 18:09:39+00:00,2,,"This is one of the groomers btw, only a pedophilic groomer would be triggered because a little girl is wearing hijab.

Stay mad cuz we don't teach our kids to get twerked on by drag queens."
Rick224538,2023-06-01 18:09:38+00:00,0,,@AriDrennen Groomer.
sa83809363,2023-06-01 18:09:34+00:00,0,,@LibnOfCongress @librarycongress GROOMER
Dave8988,2023-06-01 18:09:20+00:00,0,,@7irminsul @Habzz55 @t_lynneknapp @thevivafrei @JustinTrudeau I think the groomer that blocked me is the one that's crying. 🤪
millennialdc1,2023-06-01 18:09:08+00:00,1,,@SuzannePeterso3 @againstgrmrs Address? Charges? Mug shot? I showed you a mugshot of a right wing groomer who tried to run as a GOP during a local election.
Zivovan73,2023-06-01 18:08:53+00:00,0,,"@POTUS How about these attacks child groomer pedophile?
Hidden nazism! https://t.co/AMx7L8N9sA"
ryanfield,2023-06-01 18:08:50+00:00,0,,"@Pantingdeer5 @TheKevinDalton @davidhogg111 I don't know why they are making it up. But don't you dare call me a groomer, you rude POS. I speak from experience, years of experience, and you don't even know what you're talking about. You read a headline."
iamarawn,2023-06-01 18:08:39+00:00,0,,#PrideMonth #Pride #Pride2023 #Demon #groomer https://t.co/sBsu4X5iY5
Ticupolu,2023-06-01 18:08:34+00:00,0,,@ckellywpg @liberal_party Groomer! https://t.co/P01tpAEOb8
mongobondage,2023-06-01 18:08:26+00:00,0,,@cannabiscxnt @DrLoupis Misinformation? Because it hurts your feelings? Ok groomer
PapillonLvr,2023-06-01 18:08:22+00:00,1,,@Ansovald @cityofwinnipeg Ok groomer
Covenant60,2023-06-01 18:08:16+00:00,0,,@KamalaHarris Ok groomer
WLRfjb,2023-06-01 18:07:40+00:00,0,,@CoryBooker That groomer looks familiar.
StudebakerHarv,2023-06-01 18:07:20+00:00,0,,@thepawfecthouse Best Groomer ever😂🤡
A31647031,2023-06-01 18:06:42+00:00,0,,"@breadryo @OfficialMTM101 “grooming” is a funny way to say “sent porn unprompted”

if anything, it seems like the person sending porn and saying the other person has a “17 ton ass” while they’re talking about being sick sounds like a groomer https://t.co/tB0JMkFYqQ"
KurbisHoyt,2023-06-01 18:06:37+00:00,0,,"Lest we forget, these are not smart people. Nor logically consistent. Neither do they apply their notion of preference to any but the object of their own ardor.

Yuck. I just realized what foulness we are in the presence of. When you consider their groomer nature. 
A sane person would have a stroke trying to keep up with the twists and turns of logic to be able to tell adults that they are bordering on pedophilia, but not the dude twerking for 9-year-olds.
How do they keep it all straight in their noggins?"
